"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"1400000US47157007821","Census Tract 78.21, Shelby County, Tennessee","5903"
"1400000US47157022022","Census Tract 220.22, Shelby County, Tennessee","3377"
"1400000US47157022112","Census Tract 221.12, Shelby County, Tennessee","6014"
"1400000US47157022121","Census Tract 221.21, Shelby County, Tennessee","4436"
"1400000US47157005500","Census Tract 55, Shelby County, Tennessee","2731"
"1400000US47157022410","Census Tract 224.10, Shelby County, Tennessee","6011"
"1400000US47157005600","Census Tract 56, Shelby County, Tennessee","3802"
"1400000US47157022700","Census Tract 227, Shelby County, Tennessee","7166"
"1400000US47157005300","Census Tract 53, Shelby County, Tennessee","3945"
"1400000US47157022024","Census Tract 220.24, Shelby County, Tennessee","3490"
"1400000US47157022322","Census Tract 223.22, Shelby County, Tennessee","4197"
"1400000US47157022500","Census Tract 225, Shelby County, Tennessee","4641"
"1400000US47157007500","Census Tract 75, Shelby County, Tennessee","1581"
"1400000US47157022023","Census Tract 220.23, Shelby County, Tennessee","2757"
"1400000US47157022321","Census Tract 223.21, Shelby County, Tennessee","4052"
"1400000US47157022330","Census Tract 223.30, Shelby County, Tennessee","4744"
"1400000US47157980300","Census Tract 9803, Shelby County, Tennessee","0"
"1400000US47157022210","Census Tract 222.10, Shelby County, Tennessee","4615"
"1400000US47157022310","Census Tract 223.10, Shelby County, Tennessee","5520"
"1400000US47157980200","Census Tract 9802, Shelby County, Tennessee","3"
"1400000US47157007810","Census Tract 78.10, Shelby County, Tennessee","2802"
"1400000US47157007822","Census Tract 78.22, Shelby County, Tennessee","1681"
"1400000US47157022122","Census Tract 221.22, Shelby County, Tennessee","3995"
"1400000US47157022111","Census Tract 221.11, Shelby County, Tennessee","5742"
"1400000US47157022220","Census Tract 222.20, Shelby County, Tennessee","4099"
"1400000US47157021620","Census Tract 216.20, Shelby County, Tennessee","3089"
"1400000US47157021520","Census Tract 215.20, Shelby County, Tennessee","10210"
"1400000US47157021530","Census Tract 215.30, Shelby County, Tennessee","5361"
"1400000US47157021724","Census Tract 217.24, Shelby County, Tennessee","2312"
"1400000US47157021725","Census Tract 217.25, Shelby County, Tennessee","4073"
"1400000US47157021721","Census Tract 217.21, Shelby County, Tennessee","3974"
"1400000US47157010610","Census Tract 106.10, Shelby County, Tennessee","7051"
"1400000US47157010630","Census Tract 106.30, Shelby County, Tennessee","4452"
"1400000US47157011010","Census Tract 110.10, Shelby County, Tennessee","4116"
"1400000US47157021611","Census Tract 216.11, Shelby County, Tennessee","6111"
"1400000US47157021746","Census Tract 217.46, Shelby County, Tennessee","4588"
"1400000US47157021741","Census Tract 217.41, Shelby County, Tennessee","7888"
"1400000US47157021900","Census Tract 219, Shelby County, Tennessee","5031"
"1400000US47157021510","Census Tract 215.10, Shelby County, Tennessee","7992"
"1400000US47157021351","Census Tract 213.51, Shelby County, Tennessee","4726"
"1400000US47157021751","Census Tract 217.51, Shelby County, Tennessee","7066"
"1400000US47157021430","Census Tract 214.30, Shelby County, Tennessee","4138"
"1400000US47157021334","Census Tract 213.34, Shelby County, Tennessee","3710"
"1400000US47157021731","Census Tract 217.31, Shelby County, Tennessee","2845"
"1400000US47157010710","Census Tract 107.10, Shelby County, Tennessee","4831"
"1400000US47157010810","Census Tract 108.10, Shelby County, Tennessee","5865"
"1400000US47157008200","Census Tract 82, Shelby County, Tennessee","4840"
"1400000US47157021352","Census Tract 213.52, Shelby County, Tennessee","6867"
"1400000US47157021333","Census Tract 213.33, Shelby County, Tennessee","3993"
"1400000US47157021331","Census Tract 213.31, Shelby County, Tennessee","3247"
"1400000US47157009300","Census Tract 93, Shelby County, Tennessee","4495"
"1400000US47157008000","Census Tract 80, Shelby County, Tennessee","5174"
"1400000US47157008110","Census Tract 81.10, Shelby County, Tennessee","2725"
"1400000US47157021353","Census Tract 213.53, Shelby County, Tennessee","9295"
"1400000US47157021342","Census Tract 213.42, Shelby County, Tennessee","9004"
"1400000US47157021744","Census Tract 217.44, Shelby County, Tennessee","5879"
"1400000US47157021320","Census Tract 213.20, Shelby County, Tennessee","5924"
"1400000US47157006900","Census Tract 69, Shelby County, Tennessee","3011"
"1400000US47157021540","Census Tract 215.40, Shelby County, Tennessee","11474"
"1400000US47157021726","Census Tract 217.26, Shelby County, Tennessee","4156"
"1400000US47157021710","Census Tract 217.10, Shelby County, Tennessee","3114"
"1400000US47157010820","Census Tract 108.20, Shelby County, Tennessee","4146"
"1400000US47157010500","Census Tract 105, Shelby County, Tennessee","2413"
"1400000US47157021341","Census Tract 213.41, Shelby County, Tennessee","5055"
"1400000US47157021745","Census Tract 217.45, Shelby County, Tennessee","7718"
"1400000US47157021420","Census Tract 214.20, Shelby County, Tennessee","3244"
"1400000US47157021754","Census Tract 217.54, Shelby County, Tennessee","4736"
"1400000US47157022600","Census Tract 226, Shelby County, Tennessee","3881"
"1400000US47157009500","Census Tract 95, Shelby County, Tennessee","6346"
"1400000US47157009700","Census Tract 97, Shelby County, Tennessee","2908"
"1400000US47157009400","Census Tract 94, Shelby County, Tennessee","3128"
"1400000US47157010620","Census Tract 106.20, Shelby County, Tennessee","4026"
"1400000US47157021020","Census Tract 210.20, Shelby County, Tennessee","6205"
"1400000US47157021613","Census Tract 216.13, Shelby County, Tennessee","4644"
"1400000US47157021612","Census Tract 216.12, Shelby County, Tennessee","4599"
"1400000US47157021747","Census Tract 217.47, Shelby County, Tennessee","4035"
"1400000US47157021732","Census Tract 217.32, Shelby County, Tennessee","6966"
"1400000US47157010720","Census Tract 107.20, Shelby County, Tennessee","3206"
"1400000US47157011800","Census Tract 118, Shelby County, Tennessee","5645"
"1400000US47157980100","Census Tract 9801, Shelby County, Tennessee","63"
"1400000US47157011020","Census Tract 110.20, Shelby County, Tennessee","1615"
"1400000US47157008120","Census Tract 81.20, Shelby County, Tennessee","4393"
"1400000US47157022130","Census Tract 221.30, Shelby County, Tennessee","5920"
"1400000US47157021752","Census Tract 217.52, Shelby County, Tennessee","4661"
"1400000US47157021753","Census Tract 217.53, Shelby County, Tennessee","3323"
"1400000US47157000700","Census Tract 7, Shelby County, Tennessee","4861"
"1400000US47157006300","Census Tract 63, Shelby County, Tennessee","2405"
"1400000US47157010110","Census Tract 101.10, Shelby County, Tennessee","7191"
"1400000US47157011600","Census Tract 116, Shelby County, Tennessee","2743"
"1400000US47157003900","Census Tract 39, Shelby County, Tennessee","1184"
"1400000US47157011400","Census Tract 114, Shelby County, Tennessee","5954"
"1400000US47157000200","Census Tract 2, Shelby County, Tennessee","1033"
"1400000US47157003300","Census Tract 33, Shelby County, Tennessee","2141"
"1400000US47157001700","Census Tract 17, Shelby County, Tennessee","3848"
"1400000US47157000400","Census Tract 4, Shelby County, Tennessee","1727"
"1400000US47157003600","Census Tract 36, Shelby County, Tennessee","2039"
"1400000US47157001900","Census Tract 19, Shelby County, Tennessee","1601"
"1400000US47157002000","Census Tract 20, Shelby County, Tennessee","1969"
"1400000US47157006400","Census Tract 64, Shelby County, Tennessee","1585"
"1400000US47157009901","Census Tract 99.01, Shelby County, Tennessee","3783"
"1400000US47157003500","Census Tract 35, Shelby County, Tennessee","2996"
"1400000US47157011200","Census Tract 112, Shelby County, Tennessee","1720"
"1400000US47157004200","Census Tract 42, Shelby County, Tennessee","2348"
"1400000US47157002600","Census Tract 26, Shelby County, Tennessee","2511"
"1400000US47157002500","Census Tract 25, Shelby County, Tennessee","2877"
"1400000US47157011500","Census Tract 115, Shelby County, Tennessee","2914"
"1400000US47157003700","Census Tract 37, Shelby County, Tennessee","1345"
"1400000US47157002100","Census Tract 21, Shelby County, Tennessee","1192"
"1400000US47157002400","Census Tract 24, Shelby County, Tennessee","1839"
"1400000US47157010220","Census Tract 102.20, Shelby County, Tennessee","6810"
"1400000US47157010000","Census Tract 100, Shelby County, Tennessee","7653"
"1400000US47157020101","Census Tract 201.01, Shelby County, Tennessee","4676"
"1400000US47157004600","Census Tract 46, Shelby County, Tennessee","1498"
"1400000US47157003800","Census Tract 38, Shelby County, Tennessee","1048"
"1400000US47157003200","Census Tract 32, Shelby County, Tennessee","3856"
"1400000US47157010120","Census Tract 101.20, Shelby County, Tennessee","5399"
"1400000US47157000300","Census Tract 3, Shelby County, Tennessee","1060"
"1400000US47157004300","Census Tract 43, Shelby County, Tennessee","1353"
"1400000US47157011700","Census Tract 117, Shelby County, Tennessee","1693"
"1400000US47157000600","Census Tract 6, Shelby County, Tennessee","2152"
"1400000US47157003400","Census Tract 34, Shelby County, Tennessee","2099"
"1400000US47157006200","Census Tract 62, Shelby County, Tennessee","2242"
"1400000US47157011300","Census Tract 113, Shelby County, Tennessee","1850"
"1400000US47157009902","Census Tract 99.02, Shelby County, Tennessee","2851"
"1400000US47157004500","Census Tract 45, Shelby County, Tennessee","956"
"1400000US47157000100","Census Tract 1, Shelby County, Tennessee","5394"
"1400000US47157005000","Census Tract 50, Shelby County, Tennessee","1074"
"1400000US47157021121","Census Tract 211.21, Shelby County, Tennessee","4901"
"1400000US47157020643","Census Tract 206.43, Shelby County, Tennessee","8492"
"1400000US47157020644","Census Tract 206.44, Shelby County, Tennessee","9469"
"1400000US47157021200","Census Tract 212, Shelby County, Tennessee","4526"
"1400000US47157009600","Census Tract 96, Shelby County, Tennessee","4830"
"1400000US47157008800","Census Tract 88, Shelby County, Tennessee","6854"
"1400000US47157020524","Census Tract 205.24, Shelby County, Tennessee","4909"
"1400000US47157002800","Census Tract 28, Shelby County, Tennessee","3762"
"1400000US47157020511","Census Tract 205.11, Shelby County, Tennessee","2128"
"1400000US47157006700","Census Tract 67, Shelby County, Tennessee","3559"
"1400000US47157001500","Census Tract 15, Shelby County, Tennessee","1745"
"1400000US47157002700","Census Tract 27, Shelby County, Tennessee","2018"
"1400000US47157020622","Census Tract 206.22, Shelby County, Tennessee","4026"
"1400000US47157021111","Census Tract 211.11, Shelby County, Tennessee","3713"
"1400000US47157020652","Census Tract 206.52, Shelby County, Tennessee","5340"
"1400000US47157008700","Census Tract 87, Shelby County, Tennessee","4768"
"1400000US47157010300","Census Tract 103, Shelby County, Tennessee","1478"
"1400000US47157980400","Census Tract 9804, Shelby County, Tennessee","293"
"1400000US47157021311","Census Tract 213.11, Shelby County, Tennessee","4778"
"1400000US47157021122","Census Tract 211.22, Shelby County, Tennessee","5626"
"1400000US47157009100","Census Tract 91, Shelby County, Tennessee","2567"
"1400000US47157011100","Census Tract 111, Shelby County, Tennessee","1892"
"1400000US47157001300","Census Tract 13, Shelby County, Tennessee","3817"
"1400000US47157007200","Census Tract 72, Shelby County, Tennessee","2322"
"1400000US47157001600","Census Tract 16, Shelby County, Tennessee","3158"
"1400000US47157020651","Census Tract 206.51, Shelby County, Tennessee","6442"
"1400000US47157020621","Census Tract 206.21, Shelby County, Tennessee","7124"
"1400000US47157008500","Census Tract 85, Shelby County, Tennessee","4116"
"1400000US47157001100","Census Tract 11, Shelby County, Tennessee","3666"
"1400000US47157003000","Census Tract 30, Shelby County, Tennessee","2938"
"1400000US47157000800","Census Tract 8, Shelby County, Tennessee","2684"
"1400000US47157009200","Census Tract 92, Shelby County, Tennessee","7200"
"1400000US47157020532","Census Tract 205.32, Shelby County, Tennessee","6290"
"1400000US47157009800","Census Tract 98, Shelby County, Tennessee","3110"
"1400000US47157020541","Census Tract 205.41, Shelby County, Tennessee","5158"
"1400000US47157020542","Census Tract 205.42, Shelby County, Tennessee","5313"
"1400000US47157007300","Census Tract 73, Shelby County, Tennessee","4127"
"1400000US47157000900","Census Tract 9, Shelby County, Tennessee","2884"
"1400000US47157006600","Census Tract 66, Shelby County, Tennessee","2286"
"1400000US47157008900","Census Tract 89, Shelby County, Tennessee","4078"
"1400000US47157020512","Census Tract 205.12, Shelby County, Tennessee","5837"
"1400000US47157001200","Census Tract 12, Shelby County, Tennessee","3733"
"1400000US47157020521","Census Tract 205.21, Shelby County, Tennessee","3693"
"1400000US47157001400","Census Tract 14, Shelby County, Tennessee","1648"
"1400000US47157010210","Census Tract 102.10, Shelby County, Tennessee","5706"
"1400000US47157007100","Census Tract 71, Shelby County, Tennessee","2549"
"1400000US47157020610","Census Tract 206.10, Shelby County, Tennessee","4164"
"1400000US47157008600","Census Tract 86, Shelby County, Tennessee","5886"
"1400000US47157002900","Census Tract 29, Shelby County, Tennessee","4637"
"1400000US47157003100","Census Tract 31, Shelby County, Tennessee","3410"
"1400000US47157006000","Census Tract 60, Shelby County, Tennessee","2030"
"1400000US47157005700","Census Tract 57, Shelby County, Tennessee","2633"
"1400000US47157006500","Census Tract 65, Shelby County, Tennessee","2747"
"1400000US47157005800","Census Tract 58, Shelby County, Tennessee","1235"
"1400000US47157005900","Census Tract 59, Shelby County, Tennessee","2730"
"1400000US47157021312","Census Tract 213.12, Shelby County, Tennessee","2206"
"1400000US47157007900","Census Tract 79, Shelby County, Tennessee","5528"
"1400000US47157006800","Census Tract 68, Shelby County, Tennessee","2538"
"1400000US47157021139","Census Tract 211.39, Shelby County, Tennessee","4263"
"1400000US47157021140","Census Tract 211.40, Shelby County, Tennessee","4787"
"1400000US47157007000","Census Tract 70, Shelby County, Tennessee","3324"
"1400000US47157021410","Census Tract 214.10, Shelby County, Tennessee","2890"
"1400000US47157007400","Census Tract 74, Shelby County, Tennessee","3094"
"1400000US47157020900","Census Tract 209, Shelby County, Tennessee","9886"
"1400000US47157020700","Census Tract 207, Shelby County, Tennessee","2584"
"1400000US47157020832","Census Tract 208.32, Shelby County, Tennessee","8393"
"1400000US47157021141","Census Tract 211.41, Shelby County, Tennessee","7301"
"1400000US47157021142","Census Tract 211.42, Shelby County, Tennessee","3440"
"1400000US47157021126","Census Tract 211.26, Shelby County, Tennessee","4070"
"1400000US47157021010","Census Tract 210.10, Shelby County, Tennessee","14912"
"1400000US47157020642","Census Tract 206.42, Shelby County, Tennessee","10075"
"1400000US47157020633","Census Tract 206.33, Shelby County, Tennessee","3347"
"1400000US47157020634","Census Tract 206.34, Shelby County, Tennessee","2912"
"1400000US47157021137","Census Tract 211.37, Shelby County, Tennessee","8037"
"1400000US47157020820","Census Tract 208.20, Shelby County, Tennessee","8206"
"1400000US47157020222","Census Tract 202.22, Shelby County, Tennessee","3536"
"1400000US47157020810","Census Tract 208.10, Shelby County, Tennessee","3274"
"1400000US47157021138","Census Tract 211.38, Shelby County, Tennessee","3387"
"1400000US47157021136","Census Tract 211.36, Shelby County, Tennessee","4925"
"1400000US47157021135","Census Tract 211.35, Shelby County, Tennessee","6334"
"1400000US47157021125","Census Tract 211.25, Shelby County, Tennessee","4375"
"1400000US47157021112","Census Tract 211.12, Shelby County, Tennessee","6724"
"1400000US47157020831","Census Tract 208.31, Shelby County, Tennessee","3889"
"1400000US47157020632","Census Tract 206.32, Shelby County, Tennessee","5522"
"1400000US47157020635","Census Tract 206.35, Shelby County, Tennessee","2840"
"1400000US47157021113","Census Tract 211.13, Shelby County, Tennessee","3877"
"1400000US47157021124","Census Tract 211.24, Shelby County, Tennessee","7801"
"1400000US47157020221","Census Tract 202.21, Shelby County, Tennessee","2828"
"1400000US47157020102","Census Tract 201.02, Shelby County, Tennessee","3084"
"1400000US47157020400","Census Tract 204, Shelby County, Tennessee","1118"
"1400000US47157020531","Census Tract 205.31, Shelby County, Tennessee","5803"
"1400000US47157020210","Census Tract 202.10, Shelby County, Tennessee","6292"
"1400000US47157020300","Census Tract 203, Shelby County, Tennessee","5393"
"1400000US47157020523","Census Tract 205.23, Shelby County, Tennessee","3547"
